Vorname;Geschlecht
Agnes;W
Alena;W
Alexandra;W
Alice;W
Alicia;W
Alina;W
Almuth;W
Amelie;W
Andrea;W
Angela;W
Angelika;W
Angelina;W
Anita;W
Anja;W
Anke;W
Ann;W
Anna;W
Annabelle;W
Anne;W
Annegret;W
Annelie;W
Anneliese;W
Annemarie;W
Annett;W
Annette;W
Annika;W
Antje;W
Antonia;W
Ariane;W
Astrid;W
Aylin;W
Ayse;W
Barbara;W
Bärbel;W
Beate;W
Beatrice;W
Beatrix;W
Bettina;W
Bianca;W
Birgit;W
Birte;W
Brigitta;W
Brigitte;W
Britta;W
Carina;W
Carla;W
Carlotta;W
Carmen;W
Carola;W
Carolin;W
Carolina;W
Celina;W
Celine;W
Chantal;W
Charlotte;W
Christa;W
Christel;W
Christiane;W
Christin;W
Christina;W
Christine;W
Cindy;W
Claudia;W
Cordula;W
Corinna;W
Cornelia;W
Dagmar;W
Dana;W
Daniela;W
Danuta;W
Denise;W
Diana;W
Doreen;W
Doris;W
Dorit;W
Dorothea;W
Dorothee;W
Dörte;W
Edeltraud;W
Edith;W
Elena;W
Elisabeth;W
Elke;W
Ellen;W
Elvira;W
Emily;W
Emine;W
Emma;W
Erika;W
Esther;W
Eva;W
Evelyn;W
Ewa;W
Fatma;W
Franziska;W
Frauke;W
Frederike;W
Friederike;W
Gabi;W
Gabriela;W
Gabriele;W
Galina;W
Gerda;W
Gertrud;W
Gesa;W
Gina;W
Gisela;W
Gitta;W
Gudrun;W
Gunda;W
Hannah;W
Hannelore;W
Hatice;W
Heidemarie;W
Heidi;W
Heidrun;W
Heike;W
Helen;W
Helena;W
Helene;W
Helga;W
Hella;W
Henrike;W
Hildegard;W
Ilka;W
Ilona;W
Ilse;W
Imke;W
Ina;W
Ines;W
Inga;W
Inge;W
Ingeborg;W
Ingrid;W
Irene;W
Irina;W
Iris;W
Irmgard;W
Isabel;W
Isabella;W
Jacqueline;W
Jana;W
Janina;W
Janine;W
Jasmin;W
Jeanette;W
Jennifer;W
Jenny;W
Jessica;W
Joana;W
Joanna;W
Johanna;W
Jolanta;W
Josefine;W
Judith;W
Jule;W
Julia;W
Juliane;W
Jutta;W
Karen;W
Karin;W
Katharina;W
Kathleen;W
Katja;W
Katrin;W
Kay;W
Kerstin;W
Kim;W
Kimberly;W
Kira;W
Kirsten;W
Kirstin;W
Klara;W
Konstanze;W
Lara;W
Larissa;W
Laura;W
Lea;W
Lena;W
Leonie;W
Liane;W
Lilly;W
Lina;W
Linda;W
Lisa;W
Louise;W
Ludmila;W
Luisa;W
Lydia;W
Lynn;W
Magdalena;W
Maike;W
Maja;W
Malgorzata;W
Mandy;W
Manuela;W
